Datetime,wind_U_W6,wind_V_W6,pressure_W6,wind_U_W9,wind_V_W9,pressure_W9,wind_U_W10,wind_V_W10,pressure_W10,wind_U_OSC2_1,wind_V_OSC2_1,pressure_OSC2_1,wind_U_SCS_500,wind_V_SCS_500,pressure_SCS_500,wind_U_Singapore,wind_V_Singapore,pressure_Singapore,WL
2006-01-01 00:00:00.000,-4.08336971051805,-8.51520321496615,101345.066326316,-6.00019798356228,-6.69576414553381,101732.300489829,-6.80707485447008,-8.47982402454172,101491.551862229,1.05949165998871,-4.70931617410314,101163.040879058,-3.27601850290569,-4.32639377593353,101185.089557448,1.74169468723623,-4.00405868037348,101170.433444146,0.496
2006-01-01 01:00:00.000,-4.19713205628546,-8.95765766854372,101370.130069011,-5.27346445417483,-7.37668673918266,101758.132891062,-7.03502696067576,-7.91059444918145,101536.108125867,0.944945900217525,-4.07396412722338,101220.719770638,-3.28293736619518,-4.20879027460487,101232.254604244,1.27067875081739,-3.75847448796316,101228.597624017,0.856
2006-01-01 02:00:00.000,-4.85930032895856,-9.1247276527468,101390.19933564,-5.00679529132522,-8.2157979418062,101768.456423672,-7.00952182991149,-7.58064580909238,101545.709953382,1.02386005914386,-3.89403380500404,101294.317077131,-3.44483876716935,-4.63592619143057,101251.60484092,0.823009329214854,-3.62038326817881,101307.14653424,1.293
2006-01-01 03:00:00.000,-5.18579315986055,-8.73489768960628,101388.554813033,-5.39959176092802,-8.52834360175273,101723.815394534,-6.80494942690639,-7.38294930986545,101492.545154731,1.71200901288376,-3.82401307355027,101289.373699151,-3.49631511004319,-4.74694389668482,101272.544495317,0.274755339612092,-3.47750275753488,101303.667590407,1.55
2006-01-01 04:00:00.000,-5.09498734126593,-8.25259168016376,101358.801135496,-6.11851740942123,-7.97057822962398,101651.833502777,-6.84426983683465,-7.25478744140111,101419.798303907,2.17434542875412,-3.81196032469347,101223.837050036,-3.98672414000255,-4.89214501965861,101211.074689029,0.207634109515231,-2.7109501482888,101220.003692494,1.445
2006-01-01 05:00:00.000,-5.18477286976398,-8.0497574791588,101265.124255146,-6.74494969962875,-7.44784424494982,101569.386660155,-7.16786618340634,-7.24797032073811,101325.104418766,2.23948786465453,-4.0291967743267,101161.085662395,-4.18515713914526,-5.10822185276647,101151.064929253,0.273588013871277,-2.6082464665224,101138.032253743,1.054
2006-01-01 06:00:00.000,-5.10774096747304,-8.16420297292482,101191.425279057,-7.06927705985125,-7.13858277757715,101494.434985045,-7.38678522246634,-7.38499444606435,101250.938578655,1.97848092349651,-4.53885586884272,101057.200943055,-4.34013967682993,-5.19070110836497,101065.143964301,0.474368041291451,-3.53337781756323,101061.664735329,0.466
2006-01-01 07:00:00.000,-4.88684816156591,-8.308792592281,101127.258443265,-7.35456501560252,-6.76473218958506,101461.248834556,-7.57913641698022,-7.71835164648492,101254.249553659,1.95093747744466,-5.0344534230258,100996.60767192,-4.80259649909974,-4.87991425552043,101017.627767078,0.478064572804032,-2.82589312891855,100987.346973011,-0.3
2006-01-01 08:00:00.000,-4.71543942534237,-8.5008975282454,101126.131640738,-7.51612808949114,-6.47572324308459,101454.602176575,-7.61633139934478,-7.84515009081667,101268.62864511,1.45756003507142,-5.17851246888562,100914.230335881,-4.93931323770015,-4.52334043949193,100956.601519225,0.238373687356692,-2.12905130885069,100887.360246735,-0.968
2006-01-01 09:00:00.000,-4.7730858157985,-8.56936045755186,101127.014810286,-7.63144448423691,-6.33888188584004,101456.252056215,-7.54141007772473,-7.76198121872811,101306.988655524,0.604150405020413,-5.32142363390194,100926.182981146,-4.80896185332607,-4.46500910283291,100952.48012211,-0.499959843708773,-1.74989911580117,100896.424305803,-1.366
2006-01-01 10:00:00.000,-4.58994374346442,-8.49936477609675,101132.313827575,-7.26747711332056,-6.13143038825732,101485.289937893,-7.2693553495725,-7.42726059417494,101328.557292699,-0.485564504253224,-5.37164342080526,100905.92988778,-4.20563697448216,-5.12923367833719,100909.86154926,-1.12117169211247,-1.7695884226683,100895.97298336,-1.491
2006-01-01 11:00:00.000,-4.61034954539579,-8.0722378440057,101174.005521073,-7.4891008094726,-6.02086257160373,101530.26094296,-7.49837016956002,-7.34886370655047,101377.748921344,-0.687986972856512,-4.87862859852006,100953.057987552,-4.54217048488317,-5.38607972523898,100928.250742663,-0.171552201959496,-2.81205739976867,101002.898792201,-1.403
2006-01-01 12:00:00.000,-4.92255831494582,-7.61854320800468,101209.880477202,-7.50952142104216,-6.11829361796184,101575.891899882,-7.69019000718298,-7.11844502814116,101431.102918567,-0.0254140761647574,-4.53799495821009,101012.692095795,-5.09789358429536,-5.84112687304668,101003.23059958,1.03799181981494,-2.24958179548327,101068.885894421,-1.095
2006-01-01 13:00:00.000,-5.04856414187206,-6.93084841064278,101248.496304342,-7.80201665146504,-6.42043933475779,101606.249685273,-7.66468487641871,-6.86552985154396,101472.0171097,0.979047309615055,-4.577596847311,101104.329042826,-4.95564175506336,-5.78216831771391,101074.292356999,1.03293340827141,-2.64496436311246,101120.393068254,-0.613
2006-01-01 14:00:00.000,-4.65116114925854,-7.69620265020305,101235.309669365,-8.32814770249265,-6.59176471402796,101632.78917778,-7.89741919464269,-7.03459444398629,101505.079560107,1.54106476833973,-4.54603012411462,101153.559922783,-4.82169256177874,-5.52971280152839,101108.058242774,1.02437301950543,-3.63342078218542,101159.864976934,-0.022
2006-01-01 15:00:00.000,-4.79553219792302,-7.67883145918499,101229.371115506,-8.51853987506771,-6.66128012350819,101616.101823699,-7.89104291195162,-7.38294930986545,101474.618590061,1.76097513919816,-4.48605335004151,101142.56644041,-5.05278259564786,-5.29732828290295,101102.883394379,0.70102378929969,-4.05354801925573,101142.131765936,0.693
2006-01-01 16:00:00.000,-5.08988589078309,-7.01310610928711,101200.987873475,-8.78040418813624,-6.31096624896216,101577.494640104,-7.65830859372764,-8.021031803922,101460.996292898,1.48029430800311,-4.55406529001915,101151.494033478,-5.26090200339585,-5.15557686263481,101080.853325499,0.489543275922046,-4.3150965145313,101142.507867972,1.16
2006-01-01 17:00:00.000,-5.45208887506498,-6.49452496565982,101194.683870149,-8.66508779339047,-5.85391611576538,101570.188030267,-7.6476814559092,-8.48255087280692,101436.920774647,1.02451585547842,-4.91765654719922,101096.028594726,-5.38378101541727,-5.59682519961994,101031.15629931,0.406857702614319,-4.58648966324043,101100.816957279,1.39
2006-01-01 18:00:00.000,-5.40566567567111,-6.15476490604194,101151.987190613,-8.37259256296759,-5.78166387914026,101542.23435521,-7.54034736394289,-8.58344425861928,101402.486634596,0.901226144579666,-5.13403208619982,101042.241691033,-5.10674972930592,-5.81886061012845,101011.953915445,0.672035200069452,-4.81424705078456,101053.747787471,1.366
2006-01-01 19:00:00.000,-5.50820483037626,-5.28927085943639,101128.263429302,-7.85066575549842,-5.94915770040758,101502.731522667,-7.47499046635944,-8.50572908306111,101365.261815611,1.09075128526978,-5.03761009534544,100975.284743021,-4.86182196885781,-5.68777190731411,100968.041630497,0.662891148433068,-4.717130875021,100992.443155599,1.12
2006-01-01 20:00:00.000,-5.96274406839762,-4.50245808979499,101146.992714548,-7.57919174286773,-6.19164058544492,101494.482124464,-7.61792547001755,-8.26508472365731,101351.497619519,1.01139992878707,-5.14436301379136,100941.603369173,-5.01652775201091,-5.88910910158877,100928.657337894,0.86658949020528,-4.88342569653395,100947.649403109,0.72
2006-01-01 21:00:00.000,-6.13721367491087,-4.17598188213209,101135.115606831,-7.51672869571377,-6.31260834524909,101487.646908809,-7.77201896838502,-8.0353477573143,101351.876016663,0.880240661873493,-5.32199757432369,100954.976313335,-4.95287420974756,-5.5428843936772,100945.032036742,0.693047063404121,-5.18807780954567,100954.644900979,0.314
2006-01-01 22:00:00.000,-4.64044810324457,-4.98323134708886,101196.450209245,-7.12213040744307,-6.18726166201309,101595.17192197,-7.15245683356959,-8.43823958849744,101432.711106427,1.55439929380928,-6.32983695492067,100930.111859914,-3.71688847171227,-5.43280751643357,101000.901917803,0.920481028572904,-5.52705317371766,100957.428056046,0.119
2006-01-01 23:00:00.000,-5.13018734959755,-5.70669036125264,101231.990170028,-7.63324630290482,-6.24747185920069,101636.748888918,-7.09400757556814,-8.70683414261953,101498.741407954,1.00877674344879,-6.09193865010436,100988.122769417,-3.97869825858674,-5.06494376427752,101025.685745293,1.51484438493785,-4.80972383163941,101003.274894237,0.14
2006-01-02 00:00:00.000,-5.51483671600396,-5.94069052261353,101281.569481215,-7.78339785856338,-6.54797547970971,101692.043426594,-7.21250016224382,-8.87249017473037,101531.567360146,0.669948637255391,-5.88302433658653,101037.943903461,-3.76753455099137,-4.93730476416882,101057.104467688,1.31951187764148,-4.73176481931414,101070.916845415,0.335
2006-01-02 01:00:00.000,-6.31678473190697,-5.56925358525684,101337.757336952,-7.72333723629996,-6.83698442621018,101757.991472807,-7.31292661462813,-8.99383492253172,101624.747656714,0.27931262063112,-5.70969432921735,101092.505515643,-3.78773763179669,-4.3016186383203,101099.87089335,1.26717677359494,-4.80014524992026,101092.78717881,0.636
2006-01-02 02:00:00.000,-6.99884866146315,-6.03316656891554,101346.619486556,-7.71372753673781,-6.9267523565626,101777.884307333,-7.30336219059153,-9.16971663563705,101640.876834953,0.467526168652103,-5.64139541902883,101140.88790535,-4.26015761720337,-4.38127540988691,101160.028505937,0.987018595799357,-5.37565836821227,101133.330978293,1.033
2006-01-02 03:00:00.000,-7.95792135223774,-5.73989999114011,101326.885215273,-7.96357972535366,-7.06906736809693,101745.3581087,-7.15086276289683,-9.24470496293002,101593.624491668,0.576606958968562,-5.55071283239197,101141.920850002,-4.38220636563006,-4.97776036862587,101145.520448831,0.530983339720977,-5.71756052124289,101140.326476163,1.463
2006-01-02 04:00:00.000,-8.34155042854758,-5.17993453949921,101276.422734538,-8.38640650608817,-6.7461217649998,101664.938261066,-7.02599389353008,-9.18403258902935,101517.708564768,1.01314871901258,-5.62188144468925,101077.786054344,-4.33128353181938,-5.72007366901238,101074.218430593,0.209190543836318,-5.62975685548406,101076.332714734,1.637
2006-01-02 05:00:00.000,-8.29971853458826,-4.8795151183634,101208.510041696,-8.70112416674852,-6.22338778032565,101583.48134623,-6.98242262847445,-8.95838589508413,101436.731576076,1.11435995331422,-5.81185572428925,101014.352185415,-4.53193056721472,-6.00106763485366,101020.363044087,0.468336858297241,-5.00980976088379,101018.525831797,1.479
2006-01-02 06:00:00.000,-7.79671551697989,-4.39823094368665,101120.923985816,-8.71253568497857,-5.95298925841043,101472.703713205,-7.2098433777892,-8.66797655484045,101322.692136976,0.834990714788309,-5.99494271882822,100934.704774529,-4.59253980963069,-6.05720370615454,100947.656424142,0.37650723335313,-3.41630626321812,100934.805518579,1.032
2006-01-02 07:00:00.000,-7.30136467509578,-4.03547960183899,101092.236202562,-8.48971077638127,-5.68204337106624,101429.241169525,-7.31983425421012,-8.45323725395603,101296.488134794,0.481297891678029,-6.18032547505421,100862.398648852,-4.89863032155792,-5.81039315803279,100861.532161575,0.0539362203079281,-2.78757880204196,100862.34946134,0.364
2006-01-02 08:00:00.000,-6.75755005362465,-4.26181600245661,101060.076649359,-8.35817801362436,-5.39577125171065,101414.06227683,-7.16202125760619,-8.31280456829829,101267.540753322,0.457470624855396,-6.09509532242399,100783.359937494,-4.73396137526796,-5.71944645033863,100790.230143338,0.337401821035829,-2.8022127463351,100809.375489566,-0.405
2006-01-02 09:00:00.000,-6.50961956015845,-5.27854159439583,101071.375128751,-8.35037013273012,-5.10949913235507,101429.618284871,-7.02014896772994,-8.36870495773487,101322.124541261,0.429489981247166,-5.8617885409817,100773.583854175,-4.24715015421913,-5.95339901564844,100757.86885927,1.50511667043106,-3.35138476489946,100784.101432745,-1.01
